,Date,Name,Type,Description Link,Address
0,"Sat, Oct 30, 5:00 PM + 2 more events",The Boozy Cauldron Pop-Up Tavern - Indianapolis,Arts,https://www.eventbrite.com/e/the-boozy-cauldron-pop-up-tavern-indianapolis-tickets-178777236527?aff=ebdssbdestsearch,"701 N Pennsylvania St, Indianapolis, IN 46204, United States"
1,"Sat, Nov 13, 8:00 AM + 1 more event",Amazing Scavenger Hunt Adventure - Indianapolis,Gaming,https://www.eventbrite.com/e/amazing-scavenger-hunt-adventure-indianapolis-tickets-39888649023?aff=ebdssbdestsearch,"40 E St Clair St, Indianapolis, IN 46204, USA"
2,"Saturday, November 27, 2027",Indianapolis Colts vs. Tampa Bay Buccaneers,Sports,https://www.downtownindy.org/events/10677/indianapolis-colts-vs-tampa-bay-buccaneers/,"500 S Capitol Ave, Indianapolis, IN 46225, United States"
3,"Sun, Dec 12, 7:00 PM",The Classic Man Fashion Show,Music,https://www.eventbrite.com/e/the-classic-man-fashion-show-tickets-189160041777?aff=ebdssbdestsearch,"450 W Ohio St, Indianapolis, IN 46202, United States"
4,"Sat, Dec 25, 10:00 AM",Conquer Your Fear of Public Speaking -Indianapolis -Online Free Trial Class,Conference,https://www.eventbrite.com/e/conquer-your-fear-of-public-speaking-indianapolis-online-free-trial-class-tickets-169213166135?aff=ebdssbdestsearch,"528 Lockerbie St, Indianapolis, IN 46202, USA"
